Age,Weight
21,64
21,56
23,77
27,87
22,89.8
29,53
23,55
22,53
24,64
22,68
26,105
21,80
22,56
41,99
23,60
22,66
27,102
29,78
30,82
23,70
22,80
52,87
22,60
22,82
21,68
20,50
21,65
23,52
19,76
23,70
29,83
31,68
24,76
39,90
22,62
21,65
22,49
21,48
23,67
21,88
21,75
23,60
21,64
21,62
21,80
21,65
21,72
21,72
20,60
21,50
21,54.5
20,44
23,52
23,55
22,55
23,62
22,70
21,65
17,67
20,55
21,49
20,58
22,62
22,55
21,57
21,69
23,90
23,95
30,112
23,60
23,80
22,50
24,60
19,65
24,85
23,45
24,45
24,80
23,90
23,60
19,58
30,91
23,85.5
19,45
25,83
23,58.5
21,83
19,87
22,65
29,78
25,93
20,64
55,84
20,57
24,48
26,70
23,60
21,42
21,42
23,70
21,63
22,66.4
21,57
22,58
38,80
25,55
25,55
22,90
22,95
21,88
21,75
22,58
18,51
22,49
19,62
17,57
15,86
17,85
23,53
19,76
23,75
23,95
21,50
24,67
23,90
18,80
19,68
19,61
20,70
27,78
20,53
23,58
19,56
61,66
30,109
24,75
25,72
44,80
31,75
25,68
23,65
25,66
23,93.5
34,75
22,67
21,70
24,51
36,80
27,61
32,90
25,78
30,59
38,60
34,84
22,94
31,63
35,45
21,60
40,62
27,78
20,72
55,80
21,60
25,75
35,85
30,130
29,72
20,80
22,79
45,77
22,82
18,58
23,59
18,64
21,70
38,59.8
18,48
22,84
26,84
21,70
18,48
23,67
22,52
23,60
21,70
31,68
39,96
25,98
35,105
33,62
20,56
26,80
20,85
20,68
23,83
19,85
22,74
41,118
18,40
23,60
23,83
41,80
26,102
29,90
27,71
23,78
19,100
30,73
22,65
22,65
20,114
21,51
24,63
21,62
21,53
21,70
23,63
21,75
21,42.3
21,68
21,78
23,82
21,66.5
22,63
23,82
25,121
20,50
24,58
40,80
32,120
20,91
21,66
51,50
34,77
19,49
19,70
21,59
19,53
20,53
19,64
17,65
22,66
20,64
33,99
21,49
20,49
20,60
20,52
21,72
21,78
20,75
20,78
56,90
26,47
22,56
19,81
18,85
19,115
18,80
18,91
21,75
28,73
18,70
23,53
18,67
18,50
39,50
38,78
17,60
23,66
23,107
19,50
18,60
25,71
25,61
18,50
16,50
21,67
32,57
18,52
21,62
18,55
18,55
17,60
20,70
21,105
21,61
18,58
17,51
19,79
16,71
17,58
21,65
19,75
18,110
16,58
21,53
26,80
18,80
23,75
26,70
18,55
16,45
16,49
20,85
23,120
24,60
23,48
20,75
16,58
17,57
17,62
16,57
17,56
26,63
26,72
38,75
18,70
25,45
27,63
21,67
38,75
23,56
18,72
30,71
21,58
18,55.3
23,76
19,74
19,82
17,50
17,56
27,75
23,56
18,53
19,50
20,65
18,64.4
17,65
19,42
21,72
20,50
23,105
23,66
18,173
17,55
21,47
17,97
18,80
20,125
17,70
26,60
17,53
24,51
17,59
27,62
17,60
17,56
41,110
33,48
20,75
40,80
37,73
19,80
24,86
24,68
33,83
40,63
37,83
20,74
19,60
17,69
18,58
21,56
18,70
41,92
36,60
18,68
18,70
17,70
25,83
21,75
29,56
17,98
18,60
16,45
18,53
37,75
18,108
16,65
23,50
18,50
18,69.5
18,78
17,55
20,39
38,59
20,60
21,125
21,60
18,70
26,82
27,99
26,112
34,73
18,86
33,66.5
19,59
20,79
33,55
20,66
20,65
33,85
33,85
33,113
14,72
34,88
18,87
18,90
29,89
18,60
18,60
19,58
33,93
33,76
19,53.8
22,70
20,60
23,69
26,80
18,85
18,55
19,70
18,59
19,87
19,80
18,55
18,56
19,64
19,60
18,56
18,50
26,65
18,53
19,60
19,45
19,82
19,87
24,100.5
18,63
19,71
19,65
23,69
18,50
20,68
18,66
33,60
19,45
19,60
19,79
18,55
21,100
27,88
17,68
18,86
18,51
22,75
22,75
20,45
19,42
20,51.5
18,83
18,71
18,51
19,64
18,68
18,75
18,56
19,65
17,50
18,50
18,64
20,53.5
18,58
36,80
21,73
23,75
20,104
21,84
19,50
24,84
25,68
45,86
20,65
18,66
19,60
18,53
20,45
25.196214,104.572712
18.503343,126.67378
26,110.79263
21.853826,137.796884
21.90012,165.057269
18.306615,133.03441
26,111.485516
26,104.826776
21.849705,133.963349
19.799054,54.927529
17.188754,55.695036
22.285024,55.879263
22,51.154201
21.02497,49.869791
22.038327,51.965521
21.243142,44.845655
22.142432,42.848033
21.962426,43.919835
21.491055,43.087508
